coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
2966,http://fm-digital-assets.fieldmuseum.org/332/610/V0031038F.jpg,http://fm-digital-assets.fieldmuseum.org/332/610/V0031038F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/V0031038F_1537735820_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/V0031038F_1537735820_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:9da47281-3099-47f2-bb51-b3a97ed425c9,9/21/2018 2:09,image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=2966,StillImage,Photograph,en
2966,http://fm-digital-assets.fieldmuseum.org/333/401/http://vplants.org/xsql/plants/specimen.xsql?spmid=1966974didi8&herb=F,http://fm-digital-assets.fieldmuseum.org/333/401/http://vplants.org/xsql/plants/specimen.xsql?spmid=1966974didi8&herb=F,,,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:99fe851f-9ceb-442e-a839-4d4a3d075b01,3/5/2019 23:37,application,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=2966,StillImage,Photograph,en
8004,http://fm-digital-assets.fieldmuseum.org/332/611/V0031039F.jpg,http://fm-digital-assets.fieldmuseum.org/332/611/V0031039F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/V0031039F_1537778180_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/V0031039F_1537778180_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:38f75f1d-02c2-4554-996d-a9c267cda5bb,9/21/2018 2:09,image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=8004,StillImage,Photograph,en
8004,http://fm-digital-assets.fieldmuseum.org/333/402/http://vplants.org/xsql/plants/specimen.xsql?spmid=1423962didi8&herb=F,http://fm-digital-assets.fieldmuseum.org/333/402/http://vplants.org/xsql/plants/specimen.xsql?spmid=1423962didi8&herb=F,,,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:f7c0820e-6f71-47d0-bae2-47e73da21fa9,3/5/2019 23:37,application,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=8004,StillImage,Photograph,en
49717,http://fm-digital-assets.fieldmuseum.org/332/609/V0031037F.jpg,http://fm-digital-assets.fieldmuseum.org/332/609/V0031037F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/V0031037F_1537895826_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/V0031037F_1537895826_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:b242378c-8567-4a58-adb8-342b12bda6f3,9/21/2018 2:09,image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=49717,StillImage,Photograph,en
49717,http://fm-digital-assets.fieldmuseum.org/333/400/http://vplants.org/xsql/plants/specimen.xsql?spmid=62154didi8&herb=F,http://fm-digital-assets.fieldmuseum.org/333/400/http://vplants.org/xsql/plants/specimen.xsql?spmid=62154didi8&herb=F,,,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:f32e33c3-b51c-4cb6-8214-0b0fb4257a14,3/5/2019 23:37,application,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=49717,StillImage,Photograph,en
68397,http://fm-digital-assets.fieldmuseum.org/333/160/V0083588F.jpg,http://fm-digital-assets.fieldmuseum.org/333/160/V0083588F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/V0083588F_1537730651_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/V0083588F_1537730651_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:b8f61819-8c0a-47c6-b1cc-e6d6824c3f40,9/21/2018 2:09,image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=68397,StillImage,Photograph,en
68397,http://fm-digital-assets.fieldmuseum.org/333/403/http://vplants.org/xsql/plants/specimen.xsql?spmid=916049didi8&herb=F,http://fm-digital-assets.fieldmuseum.org/333/403/http://vplants.org/xsql/plants/specimen.xsql?spmid=916049didi8&herb=F,,,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:dfaa707f-b871-4370-ab0b-00223f6d68c8,3/5/2019 23:37,application,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=68397,StillImage,Photograph,en
3374,http://fm-digital-assets.fieldmuseum.org/1115/448/C0612365F.jpg,http://fm-digital-assets.fieldmuseum.org/1115/448/C0612365F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0612365F_1537766810_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0612365F_1537766810_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:6c7bb600-14f6-40ab-9911-5992dd34cd7d,9/21/2018 2:09,image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=3374,StillImage,Photograph,en
1311,http://fm-digital-assets.fieldmuseum.org/1062/073/C0658829F.jpg,http://fm-digital-assets.fieldmuseum.org/1062/073/C0658829F.jpg,http://www.pteridoportal.org/imglib/fern/F/C0658/C0658829F_1537521677_tn.jpg,http://www.pteridoportal.org/imglib/fern/F/C0658/C0658829F_1537521677_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:2fa304c6-29b8-4130-ae2d-ae912f1dcb67,9/21/2018 2:09,image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1311,StillImage,Photograph,en
