id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
2966,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,37b33879-931e-4764-a692-74c75a0ffa8e,V0031038F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Diphasiastrum digitatum",1721,"(Dill. ex A. Br.) Holub",Diphasiastrum,digitatum,,,"G. S. Tonkovich : Field Museum of Natural History",2003,,,,,,"E. S. Bastin",,1878-07-05,1878,7,5,186,,1878-7-5,,,,,,,,,,,,,,U.S.A.,Indiana,Lake,,"Miller [Gary]",,,,,,,,,,,,,,,,,,,en,,"2019-01-22 09:51:33",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:ece5b49c-dba4-4ff5-9c3c-8ee0a9adf7b6,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=2966
8004,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,5a8dcb43-097d-49df-8bd6-a22390411ac2,V0031039F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Diphasiastrum digitatum",1721,"(Dill. ex A. Br.) Holub",Diphasiastrum,digitatum,,,"G. S. Tonkovich : Field Museum of Natural History",2003,,,,,,"S. Segal & J. Segal",,1954-04-21,1954,4,21,111,,1954-4-21,,,,,,,,,,,,,,U.S.A.,Indiana,LaPorte,,"3 mi. SE of Michigan City",,,,,,,,,,,,,,,,,,,en,,"2019-01-22 09:51:34",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:487f353d-883b-4b1d-bfaf-eed7ea01afa2,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=8004
49717,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,ed9bf2ea-56bc-4ead-9a54-28c90821ab27,V0031037F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Diphasiastrum digitatum",1721,"(Dill. ex A. Br.) Holub",Diphasiastrum,digitatum,,,"G. S. Tonkovich : Field Museum of Natural History",2003,,,,,,"M. S. Bebb",,,,,,,,,,,,,,,,,,,,,,U.S.A.,Illinois,,,,,,,,,,,,,,,,,,,,,,en,,"2019-01-22 09:51:32",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:3981e713-0180-4e22-b2ba-2cae35c3c8e1,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=49717
68397,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,d00cb825-90b0-49f2-89c9-2ac34d3d9f66,V0083588F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Diphasiastrum digitatum",1721,"(Dill. ex A. Br.) Holub",Diphasiastrum,digitatum,,,"G. S. Tonkovich : Field Museum of Natural History",2011,,,,,,"M. M. Cornell et al.",,1970-10-25,1970,10,25,298,,1970-10-25,,,,,,,,,,,,,,U.S.A.,Indiana,LaPorte,,"near Laporte",,,,,,,,,,,,,,,,,,,en,,"2019-01-22 09:51:35",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:3b6ec644-f4ce-4a3b-b5e5-9776b73df91d,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=68397
3374,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,25098b87-1da7-4f69-82f7-c4c8c50d8299,C0612365F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Diphasiastrum sitchense",1722,"(Rupr.) Holub",Diphasiastrum,sitchense,,,,,,,,,,"L. Petry",,1951-08-28,1951,8,28,240,,1951-8-28,,,,,,,,,,,,,,Canada,"Newfoundland and Labrador",,,,,,,,,,,,,,,,,,,,,,en,,"2017-04-12 17:30:01",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:3baaf13c-6055-4d56-837e-8b63595495c5,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=3374
17977,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,55985a4b-db85-4bbd-b9b2-5c288b276aa4,V0031040F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Diphasiastrum tristachyum",1723,"(Pursh) J. Holub",Diphasiastrum,tristachyum,,,"G. S. Tonkovich : Field Museum of Natural History",2003,,,,,,"A. Chase",,,1902,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber",,,,,,,,,,U.S.A.,Indiana,Porter,,,,,,,,,,,,,,,,,,,,,en,,"2015-03-06 22:33:10",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:e74e0b7d-b7cc-43e1-8f1c-f71b2a5ec4cd,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=17977
22441,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,a42f15b0-c124-4783-8d4d-eebd84a21ff1,C0612456F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Diphasiastrum tristachyum",1723,"(Pursh) J. Holub",Diphasiastrum,tristachyum,,,,,,,,,,"A. Chase",,,1902,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber",,,,,,,,,,U.S.A.,Indiana,,,,,,,,,,,,,,,,,,,,,,en,,"2017-04-12 14:58:05",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:da22996d-b67f-4949-855e-4f53a97b3de7,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=22441
55016,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,c00f02e5-4462-465f-a1a2-751fe98a2632,C0612457F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Diphasiastrum tristachyum",1723,"(Pursh) J. Holub",Diphasiastrum,tristachyum,,,,,,,,,,"S. Segal & J. Segal",,,1954,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate",,,,,,,,,,U.S.A.,Indiana,Porter,,,,,,,,,,,,,,,,,,,,,en,,"2017-04-12 16:50:46",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c2d772e4-7ecd-4fd3-948b-6edf7749215c,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=55016
55460,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,e62c502d-114a-4031-8c9f-602b9b918e2e,V0031041F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Diphasiastrum tristachyum",1723,"(Pursh) J. Holub",Diphasiastrum,tristachyum,,,"G. S. Tonkovich : Field Museum of Natural History",2003,,,,,,"S. Segal & J. Segal",,,1954,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate",,,,,,,,,,U.S.A.,Indiana,Porter,,,,,,,,,,,,,,,,,,,,,en,,"2015-03-06 22:33:10",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:1abc8c04-3c1a-4f6b-8b23-87048dc27204,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=55460
1311,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,dfc8fd59-bf9d-432a-8197-808c38e968ad,C0658829F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Huperzia,2712,Bernh.,Huperzia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peru,Amazonas,Chachapoyas,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:55:30",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8032c2c6-4f3a-433f-a0b0-8f01bb31c8c8,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1311
