coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
354312,http://arctos.database.museum/media/10033848?open,http://arctos.database.museum/media/10033848?open,http://www.pteridoportal.org/imglib/fern/ALA/00010/10033848_1542445028_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00010/10033848_1542445028_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA V116263: <i>Lycopodium annotinum</i> L.",,urn:uuid:ffdcdd93-5c4f-4fe2-9098-9f490c10ec0c,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=354312,StillImage,Photograph,en
354398,http://arctos.database.museum/media/10037440?open,http://arctos.database.museum/media/10037440?open,http://www.pteridoportal.org/imglib/fern/ALA/00010/10037440_1542435217_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00010/10037440_1542435217_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA V116314: <i>Lycopodium inundatum</i> L.",,urn:uuid:20f8630b-cbe0-4fd5-9995-3216150495df,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=354398,StillImage,Photograph,en
353148,http://arctos.database.museum/media/10034125?open,http://arctos.database.museum/media/10034125?open,http://www.pteridoportal.org/imglib/fern/ALA/00010/10034125_1542440348_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00010/10034125_1542440348_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA V116331: <i>Lycopodium alpinum</i> L.",,urn:uuid:760f47e5-a253-4b0d-9ede-0d3714de1781,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=353148,StillImage,Photograph,en
353607,http://arctos.database.museum/media/10034069?open,http://arctos.database.museum/media/10034069?open,http://www.pteridoportal.org/imglib/fern/ALA/00010/10034069_1542406287_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00010/10034069_1542406287_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA V116417: <i>Lycopodium clavatum</i> subsp. <i>clavatum</i>",,urn:uuid:c19576e0-1bf2-4f18-9471-2dc5614ef81b,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=353607,StillImage,Photograph,en
353486,http://arctos.database.museum/media/10040770?open,http://arctos.database.museum/media/10040770?open,http://www.pteridoportal.org/imglib/fern/ALA/00010/10040770_1542411588_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00010/10040770_1542411588_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA V116419: <i>Lycopodium alpinum</i> L.",,urn:uuid:bf5fe7c8-2851-4f8f-8cda-3f021482f4b1,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=353486,StillImage,Photograph,en
353484,http://arctos.database.museum/media/10040763?open,http://arctos.database.museum/media/10040763?open,http://www.pteridoportal.org/imglib/fern/ALA/00010/10040763_1542407493_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00010/10040763_1542407493_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA V116437: <i>Lycopodium alpinum</i> L.",,urn:uuid:671e5843-8e17-4dc3-b7dc-76711fd280dc,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=353484,StillImage,Photograph,en
353344,http://arctos.database.museum/media/10040554?open,http://arctos.database.museum/media/10040554?open,http://www.pteridoportal.org/imglib/fern/ALA/00010/10040554_1542437778_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00010/10040554_1542437778_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA V116508: <i>Lycopodium clavatum</i> subsp. <i>clavatum</i>",,urn:uuid:2dc94e06-9e0c-4486-af32-63fe11bfd841,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=353344,StillImage,Photograph,en
350597,http://arctos.database.museum/media/10033622?open,http://arctos.database.museum/media/10033622?open,http://www.pteridoportal.org/imglib/fern/ALA/00010/10033622_1542445447_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00010/10033622_1542445447_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA V116528: <i>Huperzia selago</i> (L.) Bernh. ex Schrank & Mart. subsp. <i>selago</i>",,urn:uuid:eeaf5c3c-f2ca-4bb0-9016-a787695e693a,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=350597,StillImage,Photograph,en
352602,http://arctos.database.museum/media/10040767?open,http://arctos.database.museum/media/10040767?open,http://www.pteridoportal.org/imglib/fern/ALA/00010/10040767_1542404881_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00010/10040767_1542404881_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA V116558: <i>Lycopodium alpinum</i> L.",,urn:uuid:017cee1e-e842-4bb1-a338-1c246ebf1d54,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=352602,StillImage,Photograph,en
353877,http://arctos.database.museum/media/10034137?open,http://arctos.database.museum/media/10034137?open,http://www.pteridoportal.org/imglib/fern/ALA/00010/10034137_1542411330_tn.jpg,http://www.pteridoportal.org/imglib/fern/ALA/00010/10034137_1542411330_web.jpg,,"University of Alaska (ALA)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by/4.0/,"ALA V116576: <i>Lycopodium alpinum</i> L.",,urn:uuid:535ca571-e529-4dad-b83e-96149c2eaf40,"2018-11-16 15:56:12",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=353877,StillImage,Photograph,en
