coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
423,http://fm-digital-assets.fieldmuseum.org/1061/529/C0657511F.jpg,http://fm-digital-assets.fieldmuseum.org/1061/529/C0657511F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657511F_1537922913_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657511F_1537922913_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:dfd806be-5138-4fff-9778-38f84a8f0f3a,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=423,StillImage,Photograph,en
1059,http://fm-digital-assets.fieldmuseum.org/1061/540/C0657522F.jpg,http://fm-digital-assets.fieldmuseum.org/1061/540/C0657522F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657522F_1537846633_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657522F_1537846633_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:7e17c707-0343-4b9e-bf1e-bec283ad1245,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1059,StillImage,Photograph,en
1953,http://fm-digital-assets.fieldmuseum.org/1061/563/C0657545F.jpg,http://fm-digital-assets.fieldmuseum.org/1061/563/C0657545F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657545F_1537886961_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657545F_1537886961_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:33b18850-ab38-4aed-b9a3-6fa0b6e9689a,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1953,StillImage,Photograph,en
2380,http://fm-digital-assets.fieldmuseum.org/1061/521/C0657503F.jpg,http://fm-digital-assets.fieldmuseum.org/1061/521/C0657503F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657503F_1537766420_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657503F_1537766420_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:30cf526d-b316-484a-912d-1a46ed655a54,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=2380,StillImage,Photograph,en
2887,http://fm-digital-assets.fieldmuseum.org/1083/360/C0641176F.jpg,http://fm-digital-assets.fieldmuseum.org/1083/360/C0641176F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0641176F_1537763715_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0641176F_1537763715_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c410379b-cfcd-4ac3-ba77-8fd795112bbe,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=2887,StillImage,Photograph,en
3092,http://fm-digital-assets.fieldmuseum.org/1061/501/C0657483F.jpg,http://fm-digital-assets.fieldmuseum.org/1061/501/C0657483F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657483F_1537893691_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657483F_1537893691_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:1a46e956-6760-4be6-a564-645df04d07d3,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=3092,StillImage,Photograph,en
3321,http://fm-digital-assets.fieldmuseum.org/1061/524/C0657506F.jpg,http://fm-digital-assets.fieldmuseum.org/1061/524/C0657506F.jpg,http://www.pteridoportal.org/imglib/fern/F/C0657/C0657506F_1537520648_tn.jpg,http://www.pteridoportal.org/imglib/fern/F/C0657/C0657506F_1537520648_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:71824a41-d478-41bc-b8eb-f0731d627cb8,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=3321,StillImage,Photograph,en
3750,http://fm-digital-assets.fieldmuseum.org/1061/542/C0657524F.jpg,http://fm-digital-assets.fieldmuseum.org/1061/542/C0657524F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657524F_1537732020_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657524F_1537732020_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:f65e3476-cfcc-4222-8af3-f1b006b113ed,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=3750,StillImage,Photograph,en
4574,http://fm-digital-assets.fieldmuseum.org/1061/535/C0657517F.jpg,http://fm-digital-assets.fieldmuseum.org/1061/535/C0657517F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657517F_1537827023_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657517F_1537827023_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:a2c71e66-5082-4af2-bfe7-15f6907a516a,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=4574,StillImage,Photograph,en
5372,http://fm-digital-assets.fieldmuseum.org/1060/599/C0656592F.jpg,http://fm-digital-assets.fieldmuseum.org/1060/599/C0656592F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0656592F_1537915290_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0656592F_1537915290_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:61160668-e8ed-4d37-b410-ce120e63ff84,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=5372,StillImage,Photograph,en
5606,http://fm-digital-assets.fieldmuseum.org/1083/352/C0641168F.jpg,http://fm-digital-assets.fieldmuseum.org/1083/352/C0641168F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0641168F_1537917005_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0641168F_1537917005_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:0638c655-d0fe-42f5-8f1b-2181381316ae,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=5606,StillImage,Photograph,en
7039,http://fm-digital-assets.fieldmuseum.org/1083/362/C0641178F.jpg,http://fm-digital-assets.fieldmuseum.org/1083/362/C0641178F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0641178F_1537922744_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0641178F_1537922744_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:ba75dfe3-cf8c-496b-bed1-6f7f70bebb9d,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=7039,StillImage,Photograph,en
7410,http://fm-digital-assets.fieldmuseum.org/1061/536/C0657518F.jpg,http://fm-digital-assets.fieldmuseum.org/1061/536/C0657518F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657518F_1537909978_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657518F_1537909978_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:52797d43-638d-4cf6-b710-84b601876996,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=7410,StillImage,Photograph,en
