coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
423,http://fm-digital-assets.fieldmuseum.org/1061/529/C0657511F.jpg,http://fm-digital-assets.fieldmuseum.org/1061/529/C0657511F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657511F_1537922913_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657511F_1537922913_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:dfd806be-5138-4fff-9778-38f84a8f0f3a,9/21/2018 2:09,image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=423,StillImage,Photograph,en
1059,http://fm-digital-assets.fieldmuseum.org/1061/540/C0657522F.jpg,http://fm-digital-assets.fieldmuseum.org/1061/540/C0657522F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657522F_1537846633_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657522F_1537846633_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:7e17c707-0343-4b9e-bf1e-bec283ad1245,9/21/2018 2:09,image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1059,StillImage,Photograph,en
1953,http://fm-digital-assets.fieldmuseum.org/1061/563/C0657545F.jpg,http://fm-digital-assets.fieldmuseum.org/1061/563/C0657545F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657545F_1537886961_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657545F_1537886961_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:33b18850-ab38-4aed-b9a3-6fa0b6e9689a,9/21/2018 2:09,image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1953,StillImage,Photograph,en
2380,http://fm-digital-assets.fieldmuseum.org/1061/521/C0657503F.jpg,http://fm-digital-assets.fieldmuseum.org/1061/521/C0657503F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657503F_1537766420_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0657503F_1537766420_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:30cf526d-b316-484a-912d-1a46ed655a54,9/21/2018 2:09,image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=2380,StillImage,Photograph,en
2887,http://fm-digital-assets.fieldmuseum.org/1083/360/C0641176F.jpg,http://fm-digital-assets.fieldmuseum.org/1083/360/C0641176F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0641176F_1537763715_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0641176F_1537763715_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c410379b-cfcd-4ac3-ba77-8fd795112bbe,9/21/2018 2:09,image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=2887,StillImage,Photograph,en
1105583,http://fm-digital-assets.fieldmuseum.org/1746/367/C0661856F.jpg,http://fm-digital-assets.fieldmuseum.org/1746/367/C0661856F.jpg,http://www.pteridoportal.org/imglib/fern/F/C0661/C0661856F_1551861810_tn.jpg,http://www.pteridoportal.org/imglib/fern/F/C0661/C0661856F_1551861810_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:56872939-a42a-493e-b842-3ac00873ad73,3/5/2019 23:37,jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1105583,StillImage,Photograph,en
1105583,http://fm-digital-assets.fieldmuseum.org/1746/367/C0661856F.jpg,http://fm-digital-assets.fieldmuseum.org/1746/367/C0661856F.jpg,http://www.pteridoportal.org/imglib/fern/F/C0661/C0661856F_1551853042_tn.jpg,http://www.pteridoportal.org/imglib/fern/F/C0661/C0661856F_1551853042_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:28b95821-d08a-4f89-b3d5-ef77f6302017,3/5/2019 23:37,image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1105583,StillImage,Photograph,en
66937,http://fm-digital-assets.fieldmuseum.org/1746/106/C0661806F.jpg,http://fm-digital-assets.fieldmuseum.org/1746/106/C0661806F.jpg,http://www.pteridoportal.org/imglib/fern/F/C0661/C0661806F_1551861601_tn.jpg,http://www.pteridoportal.org/imglib/fern/F/C0661/C0661806F_1551861601_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:dc705d17-beaf-4282-9b64-d47c534bcd3e,3/5/2019 23:37,jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=66937,StillImage,Photograph,en
66937,http://fm-digital-assets.fieldmuseum.org/1746/106/C0661806F.jpg,http://fm-digital-assets.fieldmuseum.org/1746/106/C0661806F.jpg,http://www.pteridoportal.org/imglib/fern/F/C0661/C0661806F_1551859301_tn.jpg,http://www.pteridoportal.org/imglib/fern/F/C0661/C0661806F_1551859301_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:21010b6f-dfd9-4439-b6ac-955d74412392,3/5/2019 23:37,image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=66937,StillImage,Photograph,en
67940,http://fm-digital-assets.fieldmuseum.org/1746/090/C0661789F.jpg,http://fm-digital-assets.fieldmuseum.org/1746/090/C0661789F.jpg,http://www.pteridoportal.org/imglib/fern/F/C0661/C0661789F_1551858695_tn.jpg,http://www.pteridoportal.org/imglib/fern/F/C0661/C0661789F_1551858695_web.jpg,,Field Museum of Natural History Pteridophyte Collection (F),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:10aca3fe-1ce2-48dd-a72f-ee954d5ade14,3/5/2019 23:37,jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=67940,StillImage,Photograph,en
