id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
423,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,60efc008-1511-40b2-b72c-a63e8d056f03,C0657511F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,P. Beauv.,Selaginella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,,12/9/2015 8:52,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:9e2995c9-c5f5-476e-ad0b-0a9c186c9dd8,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=423
1059,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,731910cd-3eb7-4184-8df6-349d67d635a3,C0657522F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,P. Beauv.,Selaginella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLOMBIA,,,,,,,,,,,,,,,,,,,,,,,en,,12/9/2015 8:52,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:f08267be-a2f9-4dcf-8447-802a0f032b54,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1059
1953,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,8cbb83e5-eae7-4b94-9fb1-d4e27e64fdf4,C0657545F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,P. Beauv.,Selaginella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,Chaco,,,,,,,,,,,,,,,,,,,,,,en,,12/9/2015 8:52,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8003b823-2e0f-4532-a066-cfc395ea8c2a,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1953
2380,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,ba2059bd-f5a3-41df-85d6-96d33454d565,C0657503F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,P. Beauv.,Selaginella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peru,Cajamarca,San Ignacio,,,,,,,,,,,,,,,,,,,,,en,,1/8/2019 15:33,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:40338d3f-972c-434a-b6c9-33ae17074c9e,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=2380
2887,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,4db9753d-2ecc-4637-bb45-b0e374e78f0d,C0641176F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,P. Beauv.,Selaginella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Honduras,Lempira,,,,,,,,,,,,,,,,,,,,,,en,,12/9/2015 8:36,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8cebc8dd-8044-4b9a-9055-3b304ed079da,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=2887
1105583,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,71ccfb50-6a2a-4d7c-b883-4737586f3bc2,C0661856F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella philipsonii,18497,(Jermy & J.M.Rankin) Valdespino,Selaginella,philipsonii,,,I. A. Valdespino,2014,,,,,,R. L. Liesner & A. Gonzáles,9263,3/9/1980,1980,3,9,69,,3/9/1980,,,,,,,,,,,,,,Venezuela,Mérida,,,,,,,,,,,,,,,,,,,,,,en,,10/25/2018 11:30,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:d473ff9d-f241-4293-ad9f-38c70ab9f7d0,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1105583
66937,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,85ac77ed-3faf-4e4f-b8dd-4213fe4e1bed,C0661806F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella plumieri,18500,Hieron.,Selaginella,plumieri,,,,,,,,,Isosyntype,Père M. Fuertes,1108,1911-00-00,1911,0,0,,,1911,,,,,,,,,,,,,,DOMINICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,en,,1/23/2019 10:09,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:bcfaa2e1-17eb-4c05-b8fa-2a3e349b72d5,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=66937
67940,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,1d6f1668-8119-4864-9baa-7c1327bc1f15,C0661789F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella plumieri,18500,Hieron.,Selaginella,plumieri,,,,,,,,,Syntype,Père M. Fuertes,1773,1912-07-00,1912,7,0,,,1912-7,,,,,,,,,,,,,,DOMINICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,en,,1/23/2019 13:18,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:0f60e00b-d66e-482b-87d6-a3025155e188,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=67940
67941,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,2d0ede88-f80c-4063-bd5e-69dad6e131d1,C0661788F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella plumieri,18500,Hieron.,Selaginella,plumieri,,,,,,,,,Syntype,Père M. Fuertes,1773,1912-07-00,1912,7,0,,,1912-7,,,,,,,,,,,,,,DOMINICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,en,,1/23/2019 13:18,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:7337c631-69a1-497a-abcf-665762d04e1f,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=67941
1105579,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,05dfc409-5b10-4050-a022-0dee7c5a05ce,C0661850F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella glazioviana,51170,Hieron.,Selaginella,glazioviana,,,I. A. Valdespino,2014,,,,,,H. S. Irwin et al.,29530,2/1/1971,1971,2,1,32,,2/1/1971,,,,,,,,,,,,,,Brazil,Minas Gerais,,,,,,,,,,,,,,,,,,,,,,en,,10/25/2018 11:26,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:d74e0c14-76fa-4524-86b3-e82298121f5b,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1105579
