id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
423,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,60efc008-1511-40b2-b72c-a63e8d056f03,C0657511F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,"P. Beauv.",Selaginella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:52:15",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:9e2995c9-c5f5-476e-ad0b-0a9c186c9dd8,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=423
1059,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,731910cd-3eb7-4184-8df6-349d67d635a3,C0657522F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,"P. Beauv.",Selaginella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLOMBIA,,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:52:18",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:f08267be-a2f9-4dcf-8447-802a0f032b54,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1059
1953,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,8cbb83e5-eae7-4b94-9fb1-d4e27e64fdf4,C0657545F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,"P. Beauv.",Selaginella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,Chaco,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:52:27",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8003b823-2e0f-4532-a066-cfc395ea8c2a,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1953
2380,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,ba2059bd-f5a3-41df-85d6-96d33454d565,C0657503F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,"P. Beauv.",Selaginella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peru,Cajamarca,"San Ignacio",,,,,,,,,,,,,,,,,,,,,en,,"2019-01-08 15:33:48",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:40338d3f-972c-434a-b6c9-33ae17074c9e,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=2380
2887,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,4db9753d-2ecc-4637-bb45-b0e374e78f0d,C0641176F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,"P. Beauv.",Selaginella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Honduras,Lempira,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:36:15",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8cebc8dd-8044-4b9a-9055-3b304ed079da,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=2887
3092,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,8bd09fc4-cb48-4b7c-8b89-efcef2123841,C0657483F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,"P. Beauv.",Selaginella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venezuela,Amazonas,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:52:04",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:2955b2a4-1adb-43b3-991f-85dccc0c87cc,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=3092
3199,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,aafc2195-d8a5-46d1-8dde-17be32fd924d,,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,"P. Beauv.",Selaginella,,,,,,,,,,,"M. Lewis",82-262,,,,,,,,,,,,,,,,,,,,,Bolivia,"La Paz",Larecaja,,"Along the Rio Chalusuyu, a branch of the Rio San Cristobal, 3 km NW of Sorata.",,-16.73,-68.68,,,,,,,,,2450,,,,,,,en,,"2015-03-06 20:59:57",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:a668138d-0891-4e65-9765-43a8cf941b26,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=3199
3321,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,87fa69f9-4645-4d56-9797-d6513959eea6,C0657506F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,"P. Beauv.",Selaginella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bolivia,"La Paz",Larecaja,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:52:12",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c01c83ac-7ba3-480c-be9c-646943351c05,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=3321
3750,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,718df098-3703-42bb-a412-8eef11062d46,C0657524F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,"P. Beauv.",Selaginella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VENEZUELA,,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:52:19",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:b40ed856-1655-48b8-8450-7fddd7d8dfd7,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=3750
4281,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,9b57f0a5-ccf3-40e7-887f-e017782fe994,,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,3389,"P. Beauv.",Selaginella,,,,,,,,,,,"M. Lewis",83-283,,,,,,,,,,,,,,,,,,,,,Bolivia,"La Paz",Larecaja,,"First three waterfall ravines on SE side of Rio Consata located between 1-4 km NE of the Consata school.",,-15.38,-68.53,,,,,,,,,1100,,,,,,,en,,"2015-03-06 20:59:57",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:2718ffae-1fa1-4820-a0be-393f6cdbef4a,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=4281
